12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
8/31/2001,-0.049489141,-0.011592291,0.004926726,0.033874006,0.040507301,0.0031
9/28/2001,-0.089216234,-0.156870768,0.012387151,-0.040080138,-0.001267132,0.0028
10/31/2001,0.018549215,0.061520714,0.005340589,-0.026941576,-0.024366608,0.0022
11/30/2001,0.058023749,0.103293475,-0.01063235,0.053532103,-0.00114634,0.0017
12/31/2001,0.005599602,0.078029794,0.012321719,0.026395264,0.020534222,0.0015
1/31/2002,-0.030989043,0.032596093,0.001492882,0.003805935,0.049673435,0.0014
2/28/2002,-0.009960737,0.015313688,-0.009961682,0.018100207,-0.004873179,0.0013
3/29/2002,0.042446911,0.056081619,0.008252461,0.059865742,0.029342583,0.0013
4/30/2002,-0.035220313,0.004015059,0.002182493,0.013134919,0.039017175,0.0015
5/31/2002,-0.000416215,-0.018586433,0.016609645,0.014451817,0.021255138,0.0014
6/28/2002,-0.062031499,-0.076608525,-0.001251756,0.027384328,-0.024554854,0.0013
7/31/2002,-0.085107016,-0.078589031,0.010171977,-0.050485442,-0.009692393,0.0015
8/30/2002,3.97E-05,0.014469339,0.023921843,-0.000242888,0.028624709,0.0014
9/30/2002,-0.111250906,-0.109673922,-0.012830106,-0.039520545,-0.008081805,0.0014
10/31/2002,0.072752002,0.064091001,0.020110123,-0.045688068,0.007929532,0.0014
11/29/2002,0.052517859,0.067795353,0.017795378,0.045301041,0.040282421,0.0012
12/31/2002,-0.049499023,-0.033959743,0.012454143,0.011442697,0.075137648,0.0011
1/31/2003,-0.031225109,-0.005655791,0.014375111,-0.027894658,0.005915245,0.001
2/28/2003,-0.019041588,-0.031504142,0.009501278,0.016200212,-0.05131348,0.0009
3/31/2003,-0.005626514,-0.032070334,0.007746542,0.020674361,-0.036323594,0.001
4/30/2003,0.086390036,0.084104941,0.035887835,0.047702425,0.083803096,0.001
5/30/2003,0.054527101,0.068673221,0.01751581,0.061213542,0.001883368,0.0009
6/30/2003,0.015643929,0.054679872,-0.023836245,0.026010352,-0.014965007,0.001
7/31/2003,0.019187983,0.059936757,-0.022525262,0.052353161,0.024921502,0.0007
8/29/2003,0.019761653,0.064924679,0.018379438,0.004303324,0.053306523,0.0007
9/30/2003,0.004768459,0.005634883,0.007812779,0.031476525,-6.83E-05,0.0008
10/31/2003,0.0583373,0.083363786,0.005053967,0.021543052,0.029004664,0.0007
11/28/2003,0.013827676,0.010290505,0.009919615,0.045170714,0.043709142,0.0007
12/31/2003,0.06178056,0.071258695,0.015070817,0.03428987,0.016796706,0.0008
1/30/2004,0.015411293,0.032551301,0.00586379,0.04302144,-0.021534199,0.0007
2/27/2004,0.015546109,0.044928706,0.015765407,0.021933056,0.004420822,0.0006
3/31/2004,-0.008881315,0.009063659,-0.022484037,0.05597517,-0.008378816,0.0009
4/30/2004,-0.022187457,-0.084559662,-0.019494886,-0.152639755,-0.048308914,0.0008
5/31/2004,0.006729062,-0.02274195,0.001840019,0.070620236,0.022392526,0.0006
6/30/2004,0.019074913,0.002172688,0.016908614,0.029927316,0.014573342,0.0008
7/30/2004,-0.033432971,-0.020962517,0.015011323,0.00042128,0.006075534,0.001
8/31/2004,0.002570616,0.039244694,0.013936089,0.078822709,0.011898534,0.0011
9/30/2004,0.017705372,0.055497947,0.006876078,0.001939346,0.03747896,0.0011
10/29/2004,0.023702571,0.021803249,0.000310291,0.045461412,0.044975792,0.0011
11/30/2004,0.050937915,0.092097134,0.005382753,0.046373969,0.006154077,0.0015
12/31/2004,0.037257648,0.046768993,0.005086169,0.048239167,-0.04082743,0.0016
1/31/2005,-0.023082232,0.000199198,0.008012111,-0.079117563,-0.00160366,0.0016
2/28/2005,0.03007222,0.085562493,-0.01475309,0.022540626,0.02591574,0.0016
3/31/2005,-0.021686866,-0.067934926,0.003481962,-0.01859625,-0.011715045,0.0021
4/29/2005,-0.023924933,-0.030434363,0.008387094,0.046785962,-0.017148792,0.0021
5/31/2005,0.015160523,0.03038591,0.013715551,0.035756065,0.020822211,0.0024
6/30/2005,0.007132606,0.031036842,-0.003832648,0.04699725,-0.014346102,0.0023
7/29/2005,0.034254487,0.066167936,0.000553684,0.065671275,0.031688229,0.0024
8/31/2005,0.005590133,0.006084001,0.005000009,-0.04246035,0.041372367,0.003
9/30/2005,0.024696039,0.090869802,-0.012521264,-0.001005688,0.030369391,0.0029
10/31/2005,-0.024858002,-0.06639166,-0.002963749,-0.027343875,0.014403755,0.0027
11/30/2005,0.031436995,0.081925845,0.007276512,0.043383422,0.070135733,0.0031
12/30/2005,0.021408757,0.057618781,0.007366318,-0.002205078,0.077959773,0.0032
1/31/2006,0.044077041,0.109398245,-0.003427574,0.069980474,0.009330874,0.0035
2/28/2006,-0.002865489,-0.002124345,-0.00334924,0.014438808,0.003781076,0.0034
3/31/2006,0.019563924,0.0072829,-0.009398977,0.0500394,0.096140597,0.0037
4/28/2006,0.028698891,0.068263345,-0.000457226,-0.03102896,0.106017825,0.0036
5/31/2006,-0.037235034,-0.107635638,0.00065806,-0.02783242,-0.117335269,0.0043
6/30/2006,-0.00174854,-0.00460322,0.005633394,0.04991337,0.063011584,0.004
7/31/2006,0.005529822,0.011099086,0.017379302,0.03013291,-0.001761599,0.004
8/31/2006,0.023838316,0.022872687,0.014410935,0.0342112,-0.054391145,0.0042
9/29/2006,0.010667671,0.006515126,0.004703517,0.01979734,-0.020739661,0.0041
10/31/2006,0.036085011,0.046618887,0.01497856,0.06318856,0.071780805,0.0041
11/30/2006,0.022657538,0.073230866,0.00622502,0.04456294,0.003128096,0.0042
12/29/2006,0.01952492,0.044124108,-0.004400733,-0.01220343,0.002182839,0.004
1/31/2007,0.011225564,-0.012240207,0.00834491,0.07832957,0.053201687,0.0044
2/28/2007,-0.00652699,-0.00658364,0.010202042,-0.02915376,-0.014817028,0.0038
3/30/2007,0.015928853,0.037252301,-0.002669845,-0.02500278,0.037369272,0.0043
4/30/2007,0.042055078,0.045164027,0.002065864,0.001090828,-0.018412539,0.0044
5/31/2007,0.024723993,0.045099376,-0.015594659,0.001047001,-0.01704864,0.0041
6/29/2007,-0.008974742,0.044255062,0.004611726,-0.090407,0.014958232,0.004
7/31/2007,-0.022809481,0.050087585,0.00642793,-0.08794362,0.000174222,0.004
8/31/2007,-0.002698921,-0.023178748,0.009027284,0.05497035,0.070995386,0.0042
9/28/2007,0.046101237,0.108494928,0.011071367,0.04243216,0.058867187,0.0032
10/31/2007,0.029857809,0.110154888,0.009759211,0.008151885,0.068437691,0.0032
11/30/2007,-0.042445958,-0.071463713,-0.005228514,-0.08623405,-0.00377649,0.0034
12/31/2007,-0.013742891,0.00286101,0.017132889,-0.04422559,0.107560006,0.0027
1/31/2008,-0.077075006,-0.125942853,-0.00466587,-0.003048861,0.036760714,0.0021
2/29/2008,-0.007355699,0.072505213,-0.006144003,-0.03846813,0.05002354,0.0013
3/31/2008,-0.012474237,-0.054018982,-0.001404813,0.03880867,-0.060643939,0.0017
4/30/2008,0.049801621,0.078714812,0.005922157,0.06101241,-0.023130637,0.0018
5/30/2008,0.011092202,0.015532603,-0.011196979,0.0075724,0.000929031,0.0018
6/30/2008,-0.081008648,-0.101458008,-0.007381852,-0.11253587,0.056530991,0.0017
7/31/2008,-0.025268716,-0.041635736,0.003288164,0.02811192,-0.107203414,0.0015
8/29/2008,-0.01597572,-0.082163946,-0.023038408,0.02006769,-0.010837796,0.0013
9/30/2008,-0.120771973,-0.177075523,-0.094629289,-0.003323909,-0.028089359,0.0015
10/31/2008,-0.190451464,-0.274998602,-0.000213169,-0.3022584,-0.056726947,0.0008
11/28/2008,-0.067191785,-0.076331984,0.040502753,-0.2151377,0.072588155,0.0003
12/31/2008,0.030573642,0.076038196,0.033493311,0.15874477,0.052197994,0
1/30/2009,-0.088455445,-0.066150303,-0.00413636,-0.1649391,0.098373076,0
2/27/2009,-0.104865485,-0.057084369,-0.025935385,-0.1946352,-0.020028121,0.0001
3/31/2009,0.072387373,0.141523,0.021140888,0.04409184,-0.036864365,0.0002
4/30/2009,0.109050242,0.162751528,0.040812089,0.2797494,0.043186629,0.0001
5/29/2009,0.086200274,0.166570096,0.032376597,0.02139569,0.018333941,0
6/30/2009,-0.006140181,-0.015296441,0.030256643,-0.02469142,-0.012099557,0.0001
7/31/2009,0.083714711,0.108668781,0.034113992,0.10179122,0.016213103,0.0001
8/31/2009,0.039096322,-0.005407429,0.023431778,0.12223742,0.049733676,0.0001
9/30/2009,0.038122732,0.088848784,0.01221174,0.06367111,0.04672748,0.0001
10/30/2009,-0.018469634,0.000234124,0.010155367,-0.04801719,0.080406358,0
11/30/2009,0.038725512,0.042514211,0.003212602,0.06843633,0.006821408,0
12/31/2009,0.016937234,0.038128142,0.011989463,0.06426869,-0.014771159,0.0001
1/29/2010,-0.0418762,-0.056473725,1.02E-05,-0.04678089,-0.020170623,0
2/26/2010,0.01233635,0.002505382,0.010100714,0.05057423,0.016363202,0
3/31/2010,0.059277468,0.079498552,0.008784976,0.09418715,0.031751882,0.0001
4/30/2010,-0.00163761,0.009599796,0.009392985,0.06580515,0.049401348,0.0001
5/31/2010,-0.099087742,-0.091790168,0.00099754,-0.053161,0.022801945,0.0001
6/30/2010,-0.035634344,-0.009087828,0.022291502,-0.04533158,-0.032406426,0.0001
7/30/2010,0.080189336,0.079984967,0.025700522,0.08993679,0.01914859,0.0001
8/31/2010,-0.039230068,-0.021549107,0.005935106,-0.01404112,0.045375322,0.0001
9/30/2010,0.091140086,0.108740204,0.012081727,0.04455051,0.05589914,0.0001
10/29/2010,0.036492723,0.02810245,-0.006255694,0.04555769,0.020761594,0.0001
11/30/2010,-0.023455564,-0.027041277,-0.017892877,-0.01624,0.015086118,0.0001
12/31/2010,0.072483281,0.070206617,0.006263836,0.04674015,-0.024560474,0.0001
1/31/2011,0.021883161,-0.028058382,-0.001687171,0.03640763,0.012035535,0.0001
2/28/2011,0.033303697,-0.010108312,0.011991803,0.04486139,0.037360629,0.0001
3/31/2011,-0.012371573,0.056964145,0.005707742,-0.01380271,0.034967911,0.0001
4/29/2011,0.040223234,0.028319113,0.019147993,0.04892608,0.024855344,0
5/31/2011,-0.024494102,-0.029946147,0.004510128,0.008390392,0.012063783,0
6/30/2011,-0.017292838,-0.01862459,0.0037787,-0.0268173,0.028881804,0
7/29/2011,-0.018876457,-0.007405217,0.017169993,0.00386335,0.116350576,0
8/31/2011,-0.072608024,-0.091920674,0.000210477,-0.05056732,0.009138508,0.0001
9/30/2011,-0.088471662,-0.147815903,-0.006858873,-0.1041481,-0.060184468,0
10/31/2011,0.102558273,0.130762783,0.013701514,0.13312881,0.044296393,0
11/30/2011,-0.026856245,-0.067536728,-0.002655561,-0.03527461,-0.049840627,0
12/30/2011,-0.001695925,-0.01285972,0.013456116,0.04551321,0.002307982,0
1/31/2012,0.049297519,0.112405567,0.017084513,0.06470365,0.052230545,0
2/29/2012,0.046600274,0.058906566,0.001743691,-0.006641861,-0.039507384,0
3/30/2012,0.010233923,-0.035199635,0.006503249,0.04393216,-0.014163773,0
4/30/2012,-0.013734641,-0.014816885,0.008232866,0.02799454,-0.039126467,0
5/31/2012,-0.089912526,-0.11668434,0.005225774,-0.03948893,0.007059471,0.0001
6/29/2012,0.049311125,0.034269157,0.020934036,0.05883938,-0.001746278,0
7/31/2012,0.012019752,0.016145448,0.005795382,0.02296376,0.020154851,0
8/31/2012,0.022900776,-0.005417391,0.00836347,0.00458277,0.072824985,0.0001
9/28/2012,0.025246872,0.05840427,0.013513407,-0.008919261,0.00146801,0.0001
10/31/2012,-0.007611109,-0.007310583,0.005526795,-0.003339866,-0.01481073,0.0001
11/30/2012,0.010734356,0.011750924,-0.000624963,-0.00640772,-0.018945014,0.0001
12/31/2012,0.017489261,0.047838081,-0.001034355,0.03196281,-0.010408386,0.0001
1/31/2013,0.050030631,0.013091407,-0.003284956,0.0428299,-0.025953456,0
2/28/2013,-0.000203491,-0.013464795,0.003440586,0.01294246,-0.021335258,0
3/29/2013,0.020876329,-0.018691163,0.014025067,0.0329206,-0.067663823,0
4/30/2013,0.029016079,0.004394611,-0.003613615,0.05801871,-0.04820156,0
5/31/2013,-0.002849325,-0.029413576,-0.029720062,-0.06561,-0.050327202,0
6/28/2013,-0.026077953,-0.067944786,-0.007919615,-0.02275413,-0.041448258,0
7/31/2013,0.051874789,0.007681346,-0.003956759,0.005268052,0.046918631,0
8/30/2013,-0.023326943,-0.01901424,-0.000778598,-0.06231223,0.001263742,0
9/30/2013,0.048164711,0.06231281,0.017046904,0.03546946,-0.024179192,0
10/31/2013,0.038342342,0.047558478,0.001882505,0.04061425,-0.030666936,0
11/29/2013,0.015948991,-0.01559908,0.000750099,-0.04409162,-0.03951858,0
12/31/2013,0.02004699,-0.015311053,0.011227509,0.008420949,0.015825553,0
1/31/2014,-0.0376944,-0.065988294,0.010310299,0.03377004,0.045131548,0
2/28/2014,0.048136452,0.031920062,0.00492324,0.04687368,0.026986171,0
3/31/2014,-0.000910827,0.029212941,0.010076497,0.003246917,-0.027755255,0
4/30/2014,0.008284972,0.000633387,0.013758221,0.02882125,-0.008833718,0
5/30/2014,0.016259594,0.032563603,0.001755912,0.02758794,-0.006547261,0
6/30/2014,0.016459459,0.022462934,0.005673879,0.01178315,0.024917733,0
7/31/2014,-0.016669582,0.014272282,0.007035668,-0.001904193,-0.011426593,0
8/29/2014,0.020027964,0.020740775,-0.00407904,0.03381266,-0.044112554,0
9/30/2014,-0.028752985,-0.075885208,0.010062113,-0.05634156,-0.013181153,0
10/31/2014,0.00570181,0.01068907,-0.002973719,0.08723937,-0.037782856,0
11/28/2014,0.018386012,-0.011177358,0.001986036,0.0229791,0.022094256,0
12/31/2014,-0.017145761,-0.048179832,0.019810037,0.01091395,0.041217831,0
1/30/2015,-0.018796003,0.00553901,-0.000615474,0.05594709,-0.019697114,0
2/27/2015,0.05682438,0.029814737,0.0004851,-0.02580563,-0.039568489,0
3/31/2015,-0.018076985,-0.015857211,0.009170623,0.01150221,0.016358367,0
4/30/2015,0.021591049,0.075119129,-0.017212924,-0.04710236,0.000953854,0
5/29/2015,0.000510009,-0.041576436,-0.012238501,-0.001140621,-0.014634959,0
6/30/2015,-0.024556752,-0.031829742,0.000653939,-0.04318539,-0.043561059,0
7/31/2015,0.017279774,-0.072592142,0.003215738,0.04854727,-0.011116412,0
8/31/2015,-0.06806396,-0.091990915,-0.001631751,-0.05676493,0.006314967,0
